Time	Record	Normalized_X	Normalized_Y	X	Y
208775	208537	0.494391279203	0.550610748255	629	457
208775	208970	0.470477086104	0.497858410416	613	429
208775	209337	0.3623847822	0.485240301221	538	421
208775	209670	0.686344523269	0.42024795865	764	391
208775	209770	0.719803084944	0.44229362764	787	403
211144	209803	0.719803084944	0.44229362764	787	403
211144	210403	0.442704583566	0.471865521465	594	415
211144	211070	0.227584618642	0.593266195639	443	476
211144	211370	0.203760104636	0.630033068963	426	495
211144	211637	0.474945055326	0.591080936105	615	478
213913	212170	0.474945055326	0.591080936105	615	478
213913	213070	0.50117325037	0.358070648768	636	356
213913	213637	0.802340621525	0.474578149372	844	421
213913	213903	0.474115721279	0.373964059512	617	364
213913	214437	0.571795236128	0.619209176075	682	494
215715	214937	0.571795236128	0.619209176075	682	494
215715	215003	0.42817226508	0.378886901211	585	366
215715	215270	0.717894703088	0.583288439331	784	477
215715	215770	0.398393884306	0.48817705581	563	423
215715	216137	0.249760741135	0.712725515714	457	539
215715	216303	0.549496935749	0.408326722125	669	383
217250	217003	0.720185253174	0.548948143223	786	459
217250	217137	0.75243354222	0.58435611484	808	478
217250	218137	0.366811205694	0.323232652416	543	336
219986	219003	0.733807605456	0.588616927503	795	480
219986	219737	0.39566398569	0.328247547886	563	339
219986	220170	0.499792666489	0.445720780851	634	402
219986	220603	0.283730236566	0.511907696337	483	434
219986	220937	0.585376042683	0.40364778586	694	381
231264	230270	0.418457585251	0.483881399515	577	421
231264	230570	0.44724536766	0.485088449558	597	422
231264	230903	0.51573806765	0.452953191736	645	406
231264	231603	0.458974972658	0.498137159484	605	429
231264	231837	0.460055250115	0.477159166003	606	418
233466	233370	0.529108246873	0.393583151286	655	375
233466	233703	0.63151449164	0.410148480442	726	385
233466	234003	0.517996118943	0.416708972915	647	387
233466	234437	0.531130989329	0.427818916494	656	393
241007	234470	0.531130989329	0.427818916494	656	393
241007	240103	0.729834935417	0.440145799492	794	402
241007	240303	0.743132299768	0.460775356638	803	413
241007	241603	0.769467038125	0.486803089222	821	427
243743	242037	0.769467038125	0.486803089222	821	427
243743	242770	0.521854428383	0.389949524027	650	373
243743	243170	0.396841759526	0.312981322545	564	331
243743	243337	0.407491087067	0.347008025952	571	349
243743	243770	0.42621452021	0.34845898143	584	350
243743	244003	0.602036417291	0.45276649644	705	407
243743	244337	0.495349378774	0.438209620898	631	398
243743	244437	0.518288608081	0.433844277335	647	396
247013	246303	0.515088091789	0.414874737469	645	386
247013	246603	0.310187152809	0.629358562798	500	496
247013	246870	0.480759879988	0.257615712194	623	303
247013	247070	0.375502788365	0.326831436041	549	338
247013	247370	0.330380848926	0.632678597356	514	498
247013	247837	0.398409518879	0.320562169765	565	335
248047	248270	0.375804324436	0.597292992243	546	480
258191	249070	0.416385479782	0.278222902835	578	313
258191	257203	0.617591832935	0.437151834764	716	399
258191	258203	0.387224576077	0.42368758899	556	389
258191	258403	0.556150141391	0.545304626588	672	455
258191	259003	0.484895043992	0.415606453772	624	386
261294	260670	0.496137167094	0.400096322997	632	378
261294	261037	0.511002290798	0.428306727363	642	393
261294	261203	0.535249289113	0.416290849313	659	387
261294	261303	0.547238884455	0.444570940946	667	402
261294	261803	0.504365949376	0.460847631658	637	410
261294	261903	0.511164784763	0.43782634093	642	398
261294	262003	0.515705568857	0.451049269023	645	405
261294	262170	0.596455671819	0.378618041518	702	368
269202	262303	0.596455671819	0.378618041518	702	368
269202	268237	0.52226127812	0.582315405346	648	474
269202	268637	0.602963247716	0.675595141173	703	524
269202	269403	0.388255490521	0.231286864037	559	288
269202	269670	0.412957471939	0.245925903975	576	296
269202	269837	0.493619125456	0.421109160111	630	389
270737	270203	0.493619125456	0.421109160111	630	389
270737	270403	0.725277287103	0.25740406264	793	306
270737	270870	0.664168400776	0.300788638575	750	328
270737	271470	0.388419214133	0.577940172408	555	470
270737	271703	0.400538804648	0.613835954894	563	489
272772	271837	0.679171336938	0.252807290772	761	303
272772	272503	0.380880723792	0.473363797705	551	415
272772	272603	0.401269412668	0.488107368543	565	423
272772	272870	0.473100441408	0.398749898419	616	377
272772	273137	0.491823874551	0.400200853897	629	378
272772	273537	0.465781625332	0.391308425733	611	373
272772	273703	0.421470926071	0.407619960079	580	381
275742	273803	0.421470926071	0.407619960079	580	381
275742	274770	0.56423206428	0.428921435637	679	394
275742	275603	0.693257719256	0.57245724482	767	471
275742	275937	0.438739730814	0.239586950432	594	293
275742	276203	0.163340213609	0.621489077134	398	490
275742	276637	0.608154007671	0.726896523534	706	551
278344	276770	0.608154007671	0.726896523534	706	551
278344	277670	0.496047488001	0.310577111834	633	331
278344	277937	0.510587623774	0.319748289066	643	336
278344	278470	0.158555073743	0.425419881289	397	387
278344	278603	0.163355848182	0.453874191089	400	402
278344	279070	0.54018787601	0.368553406944	663	362
290523	289537	0.572143675918	0.386826074141	685	372
290523	289737	0.560739058851	0.392816591349	677	375
290523	290003	0.664770243271	0.504578056175	748	435
290523	291370	0.19103085434	0.4741553119	419	413
291658	291537	0.19103085434	0.4741553119	419	413
291658	291637	0.198187176451	0.472077171019	424	412
291658	292137	0.201290196364	0.485334942746	426	419
291658	292337	0.231418246575	0.480795381016	447	417
296763	295770	0.46142801671	0.473316476943	607	416
296763	296237	0.454328874899	0.563009906273	601	463
296763	297403	0.661520363965	0.314185784836	748	335
298131	297970	0.286386090662	0.414703107054	486	383
298131	298203	0.672389365771	0.445347390259	754	404
298131	299037	0.341906414232	0.38097751922	525	366
299966	299137	0.341906414232	0.38097751922	525	366
299966	299203	0.342198903369	0.398112823641	525	375
299966	299603	0.472190475203	0.345440062445	616	349
299966	299770	0.482547313606	0.362331461431	623	358
299966	300103	0.669246029778	0.513993138841	751	440
299966	300870	0.284713017644	0.485217934716	484	420
301868	300970	0.284713017644	0.485217934716	484	420
301868	301337	0.432745547966	0.394013752017	588	374
301868	301570	0.596212545695	0.53290546857	700	449
306239	302870	0.140116312451	0.524911673254	383	439
306239	305270	0.453971388175	0.542066756426	601	452
306239	305670	0.501100435497	0.438070246364	635	398
306239	305870	0.623790055475	0.54747482124	719	457
306239	306137	0.310690269277	0.490302517454	502	423
306239	306537	0.602751390738	0.494652796135	705	429
306239	307170	0.176020100891	0.605944102726	407	482
308474	307270	0.176020100891	0.605944102726	407	482
308474	307570	0.377964879351	0.555337005281	548	458
308474	307770	0.795793959195	0.596638264829	838	485
308474	308237	0.363245385392	0.367127405724	540	359
308474	308370	0.390627902414	0.370273222114	559	361
308474	308670	0.649807623188	0.470655883669	738	417
310476	309603	0.319349353155	0.491997378366	508	424
310476	310070	0.339080248883	0.552469937959	521	456
310476	310437	0.544525850059	0.45416024178	665	407
310476	311303	0.422193716805	0.365698816751	581	359
311477	311503	0.579487173501	0.479978912563	689	421
311477	311803	0.503253173125	0.479921702425	636	420
312712	312570	0.475025687485	0.427273895487	617	392
312712	312770	0.437741315163	0.433891598098	591	395
312712	313137	0.408953532754	0.432684548054	571	394
314280	313737	0.408953532754	0.432684548054	571	394
314280	314103	0.401537220299	0.419531307228	566	387
314280	314670	0.391472871033	0.419775212663	559	387
314280	315270	0.39023009961	0.431233592576	558	393
316883	315303	0.39023009961	0.431233592576	558	393
316883	316103	0.395916158748	0.427286372616	562	391
316883	316303	0.402909986893	0.415688618168	567	385
316883	317337	0.397288925342	0.423443683555	563	389
316883	317670	0.321209601646	0.516713530007	509	437
316883	317837	0.354668163321	0.538759198997	532	449
319552	317903	0.354668163321	0.538759198997	532	449
319552	318570	0.391870673836	0.358814842201	560	355
319552	318970	0.393203124351	0.436875673449	560	396
319552	319137	0.375097168276	0.471599249526	547	414
319552	319503	0.382480981938	0.482848567639	552	420
319552	320503	0.435223273525	0.454904435212	589	406
321321	320570	0.435223273525	0.454904435212	589	406
321321	321503	0.291064687215	0.351734282978	490	350
321321	321837	0.43310303469	0.414956901864	588	385
321321	322003	0.432087754819	0.439742740772	587	398
324257	323270	0.410293800556	0.426937936281	572	391
324257	323470	0.386079301033	0.440857737044	555	398
324257	324370	0.324677925569	0.467107008558	512	411
325692	325370	0.953707352253	1.4213602818	938	920
325692	326470	0.367973344958	0.47558131312	542	416
331664	330703	0.353530705564	0.472121904028	532	414
331664	330870	0.720688369643	0.409892097879	788	386
331664	331470	0.323142665009	0.461430084051	511	408
331664	331670	0.568480359237	0.42500905931	682	392
331664	331903	0.587496281518	0.443595319208	695	402
333900	332670	0.3448066241	0.466619197689	526	411
