RecordingTimestamp	GazePointX (ADCSpx)	GazePointY (ADCSpx)	IRMarkerID	
5033	380	246	11, 13, 14, 15, 17, 18, 29	
5067	379	245	11, 13, 14, 15, 17, 18, 29	
5100	382	247	11, 13, 14, 15, 17, 18, 29	
5133	395	254	11, 13, 14, 15, 17, 18, 29	
5167	378	355	11, 13, 14, 17, 18, 29	
5200	370	348	11, 13, 14, 17, 18, 29	
5233	370	352	11, 13, 14, 17, 18, 29	
5267	370	354	11, 13, 14, 17, 18, 29	
5300	370	357	11, 13, 14, 17, 18, 29	
5333	373	358	11, 13, 14, 17, 18, 29	
5367	375	358	11, 13, 14, 15, 17, 18, 29	
5400	376	357	11, 13, 14, 15, 17, 18, 29	
5433	378	357	11, 13, 14, 15, 17, 18, 29	
5467	375	352	11, 13, 14, 15, 17, 18, 29	
5500	370	349	11, 13, 14, 15, 17, 18, 29	
5533	366	347	11, 13, 14, 15, 17, 18, 29	
5567	396	320	11, 13, 14, 15, 17, 18, 29	
5600	388	309	11, 13, 14, 15, 17, 18, 29	
5633	387	308	11, 13, 14, 15, 17, 18, 29	
5667	387	308	11, 13, 14, 15, 17, 18, 29	
5700	386	310	11, 13, 14, 15, 17, 18, 29	
5733	388	311	11, 13, 14, 15, 17, 18, 29	
5767	391	312	11, 13, 14, 15, 17, 18, 29	
5800	394	315	11, 13, 14, 15, 17, 18, 29	
5833	402	277	11, 13, 14, 15, 17, 18, 29	
5867	375	167	11, 13, 14, 15, 17, 18, 29	
5900	376	170	11, 13, 14, 15, 17, 18, 29	
5933	381	175	11, 13, 14, 15, 17, 18, 29	
5967	386	177	11, 13, 14, 15, 17, 18, 29	
6000	386	180	11, 13, 14, 15, 17, 18, 29	
6033			11, 13, 14, 15, 18, 29	
6067			11, 13, 14, 15, 17, 18, 29	
6100			11, 13, 14, 15, 17, 18, 29	
6133	325	413	11, 13, 14, 15, 17, 18, 29	
6167	383	236	11, 13, 14, 15, 18, 29	
6200	383	221	11, 13, 14, 15, 17, 18, 29	
6233	387	220	11, 13, 14, 15, 17, 18, 29	
6267	386	220	11, 13, 14, 15, 17, 18, 29	
6300	385	220	11, 13, 14, 15, 17, 18, 29	
6333	384	219	11, 13, 14, 15, 17, 18, 29	
6367	383	218	11, 13, 14, 15, 17, 18, 29	
6400	383	218	11, 13, 14, 15, 17, 18, 29	
6433	384	218	11, 13, 14, 15, 17, 18, 29	
6467	386	219	11, 13, 14, 15, 17, 18, 29	
6500	355	276	11, 13, 14, 15, 17, 18, 29	
6533	332	254	11, 13, 14, 15, 17, 18, 29	
6567	369	302	11, 13, 14, 17, 18, 29	
6600			11, 13, 14, 17, 18, 29	
6633			11, 13, 14, 17, 18, 29	
6667	367	426	11, 13, 14, 17, 18, 29	
6700	362	234	11, 13, 14, 17, 18, 29	
6733	352	247	11, 13, 14, 17, 18, 29	
6767	359	245	11, 13, 14, 17, 18, 29	
6800	364	241	11, 13, 14, 17, 18, 29	
